gene_id	GeneSymbol	Chromosome	Class
gene-LOC106604330	LOC106604330	NC_059446.1:15736455-15873281	protein_coding
gene-LOC106604330	LOC106604330	NC_059446.1:15834879-15873281	protein_coding
gene-LOC123743081	LOC123743081	NC_059446.1:15924988-16116088	protein_coding
gene-LOC123743081	LOC123743081	NC_059446.1:15924988-16116088	protein_coding
gene-LOC123743081	LOC123743081	NC_059446.1:15924988-16116088	protein_coding
gene-LOC123743081	LOC123743081	NC_059446.1:15924988-16116088	protein_coding
gene-LOC123743081	LOC123743081	NC_059446.1:15924988-16116088	protein_coding
gene-LOC123743081	LOC123743081	NC_059446.1:15924988-16116088	protein_coding
gene-LOC123743081	LOC123743081	NC_059446.1:15924988-16116088	protein_coding
gene-LOC123743081	LOC123743081	NC_059446.1:15924988-16116088	protein_coding
gene-LOC123743081	LOC123743081	NC_059446.1:15924988-16116088	protein_coding
gene-LOC123743081	LOC123743081	NC_059446.1:15935347-16116088	protein_coding
gene-LOC123743081	LOC123743081	NC_059446.1:15955542-16116088	protein_coding
gene-LOC106591716	LOC106591716	NC_059446.1:16021056-16031112	pseudogene
gene-LOC106591716	LOC106591716	NC_059446.1:16021056-16031112	pseudogene
gene-LOC106591716	LOC106591716	NC_059446.1:16021056-16031112	pseudogene
gene-LOC106591716	LOC106591716	NC_059446.1:16021056-16031112	pseudogene
gene-LOC106591716	LOC106591716	NC_059446.1:16021056-16031112	pseudogene
gene-LOC106591716	LOC106591716	NC_059446.1:16021056-16031112	pseudogene
gene-LOC106591716	LOC106591716	NC_059446.1:16021056-16031112	pseudogene
gene-LOC106591716	LOC106591716	NC_059446.1:16021056-16031112	pseudogene
gene-LOC106591716	LOC106591716	NC_059446.1:16021056-16031112	pseudogene
gene-LOC106591716	LOC106591716	NC_059446.1:16021056-16031112	pseudogene
gene-LOC106591716	LOC106591716	NC_059446.1:16021056-16031112	pseudogene
gene-LOC123743236	LOC123743236	NC_059446.1:16266158-16300362	pseudogene
gene-LOC123743236	LOC123743236	NC_059446.1:16266158-16300362	pseudogene
gene-LOC123743236	LOC123743236	NC_059446.1:16266158-16300362	pseudogene
gene-LOC123743236	LOC123743236	NC_059446.1:16266158-16300362	pseudogene
gene-LOC123743236	LOC123743236	NC_059446.1:16266158-16300362	pseudogene
gene-LOC123743236	LOC123743236	NC_059446.1:16266158-16300362	pseudogene
gene-LOC123743236	LOC123743236	NC_059446.1:16266158-16300362	pseudogene
gene-LOC123743236	LOC123743236	NC_059446.1:16266158-16300362	pseudogene
gene-LOC123743236	LOC123743236	NC_059446.1:16266158-16300362	pseudogene
gene-LOC123743236	LOC123743236	NC_059446.1:16266158-16300362	pseudogene
gene-LOC123743236	LOC123743236	NC_059446.1:16266158-16300362	pseudogene
gene-LOC123743237	LOC123743237	NC_059446.1:16418365-16432814	protein_coding
gene-LOC123743237	LOC123743237	NC_059446.1:16418365-16432814	protein_coding
gene-LOC123743237	LOC123743237	NC_059446.1:16418365-16432814	protein_coding
gene-LOC123743237	LOC123743237	NC_059446.1:16418365-16432814	protein_coding
gene-LOC123743237	LOC123743237	NC_059446.1:16418365-16432814	protein_coding
gene-LOC123743237	LOC123743237	NC_059446.1:16418365-16432814	protein_coding
gene-LOC123743237	LOC123743237	NC_059446.1:16418365-16432814	protein_coding
gene-LOC123743237	LOC123743237	NC_059446.1:16418365-16432814	protein_coding
gene-LOC123743237	LOC123743237	NC_059446.1:16418365-16432814	protein_coding
gene-LOC123743237	LOC123743237	NC_059446.1:16418365-16432814	protein_coding
gene-LOC123743237	LOC123743237	NC_059446.1:16418365-16432814	protein_coding
gene-LOC123743237	LOC123743237	NC_059446.1:16418365-16432814	protein_coding
gene-LOC123743237	LOC123743237	NC_059446.1:16418365-16432814	protein_coding
gene-LOC123743237	LOC123743237	NC_059446.1:16418365-16432814	protein_coding
gene-LOC106604349	LOC106604349	NC_059446.1:16963134-16980860	protein_coding
gene-LOC106604349	LOC106604349	NC_059446.1:16963134-16980860	protein_coding
gene-LOC106604349	LOC106604349	NC_059446.1:16963134-16980860	protein_coding
gene-LOC106604349	LOC106604349	NC_059446.1:16963134-16980860	protein_coding
gene-LOC106604349	LOC106604349	NC_059446.1:16963134-16980860	protein_coding
gene-LOC106604349	LOC106604349	NC_059446.1:16963134-16980860	protein_coding
gene-LOC106604349	LOC106604349	NC_059446.1:16963134-16980860	protein_coding
gene-LOC106604349	LOC106604349	NC_059446.1:16963134-16980860	protein_coding
gene-LOC106604349	LOC106604349	NC_059446.1:16963134-16980860	protein_coding
gene-LOC106604349	LOC106604349	NC_059446.1:16963134-16980860	protein_coding
gene-LOC106604349	LOC106604349	NC_059446.1:16963134-16980860	protein_coding
gene-LOC106604349	LOC106604349	NC_059446.1:16963134-16980860	protein_coding
gene-LOC106604349	LOC106604349	NC_059446.1:16963134-16980860	protein_coding
gene-cyfip2	cyfip2	NC_059446.1:16981048-17033729	protein_coding
gene-cyfip2	cyfip2	NC_059446.1:16981048-17033729	protein_coding
gene-cyfip2	cyfip2	NC_059446.1:16981048-17033729	protein_coding
gene-cyfip2	cyfip2	NC_059446.1:16981048-17033729	protein_coding
gene-cyfip2	cyfip2	NC_059446.1:16981048-17033729	protein_coding
gene-cyfip2	cyfip2	NC_059446.1:16981048-17033729	protein_coding
gene-cyfip2	cyfip2	NC_059446.1:16981048-17033729	protein_coding
gene-cyfip2	cyfip2	NC_059446.1:16981048-17033729	protein_coding
gene-cyfip2	cyfip2	NC_059446.1:16981048-17033729	protein_coding
gene-cyfip2	cyfip2	NC_059446.1:16981048-17033729	protein_coding
gene-cyfip2	cyfip2	NC_059446.1:16981048-17033729	protein_coding
gene-cyfip2	cyfip2	NC_059446.1:16981048-17033729	protein_coding
gene-cyfip2	cyfip2	NC_059446.1:16981048-17033729	protein_coding
gene-itk	itk	NC_059446.1:17034557-17058020	protein_coding
gene-itk	itk	NC_059446.1:17034557-17058020	protein_coding
gene-itk	itk	NC_059446.1:17034557-17058020	protein_coding
gene-itk	itk	NC_059446.1:17034557-17058020	protein_coding
gene-itk	itk	NC_059446.1:17034557-17058020	protein_coding
gene-itk	itk	NC_059446.1:17034557-17058020	protein_coding
gene-itk	itk	NC_059446.1:17034557-17058020	protein_coding
gene-itk	itk	NC_059446.1:17034557-17058020	protein_coding
gene-itk	itk	NC_059446.1:17034557-17058020	protein_coding
gene-itk	itk	NC_059446.1:17034557-17058020	protein_coding
gene-itk	itk	NC_059446.1:17034557-17058020	protein_coding
gene-itk	itk	NC_059446.1:17034557-17058020	protein_coding
gene-itk	itk	NC_059446.1:17034557-17058020	protein_coding
gene-med7	med7	NC_059446.1:17068669-17070498	gene=med7
gene-med7	med7	NC_059446.1:17068669-17070498	gene=med7
gene-med7	med7	NC_059446.1:17068669-17070498	gene=med7
gene-med7	med7	NC_059446.1:17068669-17070498	gene=med7
gene-med7	med7	NC_059446.1:17068669-17070498	gene=med7
gene-med7	med7	NC_059446.1:17068669-17070498	gene=med7
gene-med7	med7	NC_059446.1:17068669-17070498	gene=med7
gene-med7	med7	NC_059446.1:17068669-17070498	gene=med7
gene-med7	med7	NC_059446.1:17068669-17070498	gene=med7
gene-med7	med7	NC_059446.1:17068669-17070498	gene=med7
gene-med7	med7	NC_059446.1:17068669-17070498	gene=med7
gene-med7	med7	NC_059446.1:17068669-17070498	gene=med7
gene-med7	med7	NC_059446.1:17068669-17070498	gene=med7
gene-LOC106604350	LOC106604350	NC_059446.1:17081872-17099760	protein_coding
gene-LOC106604350	LOC106604350	NC_059446.1:17081872-17106439	protein_coding
gene-LOC106604350	LOC106604350	NC_059446.1:17081872-17106439	protein_coding
gene-LOC106604350	LOC106604350	NC_059446.1:17081872-17106439	protein_coding
gene-LOC106604350	LOC106604350	NC_059446.1:17081872-17106439	protein_coding
gene-LOC106604350	LOC106604350	NC_059446.1:17081872-17106439	protein_coding
gene-LOC106604350	LOC106604350	NC_059446.1:17081872-17106439	protein_coding
gene-LOC106604350	LOC106604350	NC_059446.1:17081872-17106439	protein_coding
gene-LOC106604350	LOC106604350	NC_059446.1:17081872-17106439	protein_coding
gene-LOC106604350	LOC106604350	NC_059446.1:17081872-17106439	protein_coding
gene-LOC106604350	LOC106604350	NC_059446.1:17081872-17106439	protein_coding
gene-LOC106604350	LOC106604350	NC_059446.1:17081872-17106439	protein_coding
gene-LOC106604350	LOC106604350	NC_059446.1:17081872-17106439	protein_coding
gene-LOC106604348	LOC106604348	NC_059446.1:17217135-17256913	protein_coding
gene-LOC106604348	LOC106604348	NC_059446.1:17217135-17274372	protein_coding
gene-LOC106604348	LOC106604348	NC_059446.1:17217135-17363099	protein_coding
gene-LOC106604348	LOC106604348	NC_059446.1:17217135-17377802	protein_coding
gene-LOC106604348	LOC106604348	NC_059446.1:17217135-17377802	protein_coding
gene-LOC106604348	LOC106604348	NC_059446.1:17217135-17377802	protein_coding
gene-LOC106604348	LOC106604348	NC_059446.1:17217135-17377802	protein_coding
gene-LOC106604348	LOC106604348	NC_059446.1:17217135-17377802	protein_coding
gene-LOC106604348	LOC106604348	NC_059446.1:17217135-17377802	protein_coding
gene-LOC106604348	LOC106604348	NC_059446.1:17217135-17377802	protein_coding
gene-LOC106604348	LOC106604348	NC_059446.1:17217135-17377802	protein_coding
gene-LOC106604348	LOC106604348	NC_059446.1:17217135-17377802	protein_coding
gene-LOC123743082	LOC123743082	NC_059446.1:17228245-17230392	lncRNA
gene-LOC123743082	LOC123743082	NC_059446.1:17228245-17230392	lncRNA
gene-LOC123743082	LOC123743082	NC_059446.1:17228245-17230392	lncRNA
gene-LOC123743082	LOC123743082	NC_059446.1:17228245-17230392	lncRNA
gene-LOC123743082	LOC123743082	NC_059446.1:17228245-17230392	lncRNA
gene-LOC123743082	LOC123743082	NC_059446.1:17228245-17230392	lncRNA
gene-LOC123743082	LOC123743082	NC_059446.1:17228245-17230392	lncRNA
gene-LOC123743082	LOC123743082	NC_059446.1:17228245-17230392	lncRNA
gene-LOC123743082	LOC123743082	NC_059446.1:17228245-17230392	lncRNA
gene-LOC123743082	LOC123743082	NC_059446.1:17228245-17230392	lncRNA
gene-LOC123743082	LOC123743082	NC_059446.1:17228245-17230392	lncRNA
gene-LOC123743082	LOC123743082	NC_059446.1:17228245-17230392	lncRNA
gene-tmsb2	tmsb2	NC_059446.1:17556688-17561981	protein_coding
gene-tmsb2	tmsb2	NC_059446.1:17556688-17561981	protein_coding
gene-tmsb2	tmsb2	NC_059446.1:17556688-17561981	protein_coding
gene-tmsb2	tmsb2	NC_059446.1:17556688-17561981	protein_coding
gene-tmsb2	tmsb2	NC_059446.1:17556688-17561981	protein_coding
gene-tmsb2	tmsb2	NC_059446.1:17556688-17561981	protein_coding
gene-tmsb2	tmsb2	NC_059446.1:17556688-17561981	protein_coding
gene-tmsb2	tmsb2	NC_059446.1:17556688-17561981	protein_coding
gene-tmsb2	tmsb2	NC_059446.1:17556688-17561981	protein_coding
gene-LOC106604409	LOC106604409	NC_059446.1:17566081-17569826	protein_coding
gene-LOC106604409	LOC106604409	NC_059446.1:17566081-17569826	protein_coding
gene-LOC106604409	LOC106604409	NC_059446.1:17566081-17569826	protein_coding
gene-LOC106604409	LOC106604409	NC_059446.1:17566081-17569826	protein_coding
gene-LOC106604409	LOC106604409	NC_059446.1:17566081-17569826	protein_coding
gene-LOC106604409	LOC106604409	NC_059446.1:17566081-17569826	protein_coding
gene-LOC106604409	LOC106604409	NC_059446.1:17566081-17569826	protein_coding
gene-LOC106604409	LOC106604409	NC_059446.1:17566081-17569826	protein_coding
gene-LOC106604409	LOC106604409	NC_059446.1:17566081-17569826	protein_coding
gene-LOC106604410	LOC106604410	NC_059446.1:17570258-17572653	protein_coding
gene-LOC106604410	LOC106604410	NC_059446.1:17570258-17572653	protein_coding
gene-LOC106604410	LOC106604410	NC_059446.1:17570258-17572653	protein_coding
gene-LOC106604410	LOC106604410	NC_059446.1:17570258-17572653	protein_coding
gene-LOC106604410	LOC106604410	NC_059446.1:17570258-17572653	protein_coding
gene-LOC106604410	LOC106604410	NC_059446.1:17570258-17572653	protein_coding
gene-LOC106604410	LOC106604410	NC_059446.1:17570258-17572653	protein_coding
gene-LOC106604410	LOC106604410	NC_059446.1:17570258-17572653	protein_coding
gene-LOC106604410	LOC106604410	NC_059446.1:17570258-17572653	protein_coding
gene-syce3	syce3	NC_059446.1:17601872-17610552	protein_coding
gene-syce3	syce3	NC_059446.1:17601872-17610552	protein_coding
gene-syce3	syce3	NC_059446.1:17601872-17610552	protein_coding
gene-syce3	syce3	NC_059446.1:17601872-17610552	protein_coding
gene-syce3	syce3	NC_059446.1:17601872-17610552	protein_coding
gene-syce3	syce3	NC_059446.1:17601872-17610552	protein_coding
gene-syce3	syce3	NC_059446.1:17601872-17610552	protein_coding
gene-syce3	syce3	NC_059446.1:17601872-17610552	protein_coding
gene-LOC106604358	LOC106604358	NC_059446.1:17609688-17628259	protein_coding
gene-LOC106604358	LOC106604358	NC_059446.1:17609688-17628259	protein_coding
gene-LOC106604358	LOC106604358	NC_059446.1:17609688-17628259	protein_coding
gene-LOC106604358	LOC106604358	NC_059446.1:17609688-17628259	protein_coding
gene-LOC106604358	LOC106604358	NC_059446.1:17609688-17628259	protein_coding
gene-LOC106604358	LOC106604358	NC_059446.1:17609688-17628259	protein_coding
gene-LOC106604358	LOC106604358	NC_059446.1:17609688-17628259	protein_coding
gene-LOC106604358	LOC106604358	NC_059446.1:17609688-17628259	protein_coding
gene-LOC106604360	LOC106604360	NC_059446.1:17634164-17658709	protein_coding
gene-LOC106604360	LOC106604360	NC_059446.1:17634164-17658709	protein_coding
gene-LOC106604360	LOC106604360	NC_059446.1:17634164-17658709	protein_coding
gene-LOC106604360	LOC106604360	NC_059446.1:17634164-17658709	protein_coding
gene-LOC106604360	LOC106604360	NC_059446.1:17634164-17658709	protein_coding
gene-LOC106604360	LOC106604360	NC_059446.1:17634164-17658709	protein_coding
gene-LOC106604360	LOC106604360	NC_059446.1:17634164-17658709	protein_coding
gene-LOC106604360	LOC106604360	NC_059446.1:17634164-17658709	protein_coding
gene-LOC106604362	LOC106604362	NC_059446.1:17669604-17706089	protein_coding
gene-LOC106604362	LOC106604362	NC_059446.1:17669604-17706089	protein_coding
gene-LOC106604362	LOC106604362	NC_059446.1:17669604-17706089	protein_coding
gene-LOC106604362	LOC106604362	NC_059446.1:17669604-17706089	protein_coding
gene-LOC106604362	LOC106604362	NC_059446.1:17669604-17706089	protein_coding
gene-LOC106604362	LOC106604362	NC_059446.1:17669604-17706089	protein_coding
gene-LOC106604362	LOC106604362	NC_059446.1:17669604-17706089	protein_coding
gene-LOC106604362	LOC106604362	NC_059446.1:17669604-17706089	protein_coding
gene-LOC106604363	LOC106604363	NC_059446.1:17715989-17720085	protein_coding
gene-LOC106604363	LOC106604363	NC_059446.1:17715989-17720085	protein_coding
gene-LOC106604363	LOC106604363	NC_059446.1:17715989-17720085	protein_coding
gene-LOC106604363	LOC106604363	NC_059446.1:17715989-17720085	protein_coding
gene-LOC106604363	LOC106604363	NC_059446.1:17715989-17720085	protein_coding
gene-LOC106604363	LOC106604363	NC_059446.1:17715989-17720085	protein_coding
gene-LOC106604363	LOC106604363	NC_059446.1:17715989-17720085	protein_coding
gene-LOC106604363	LOC106604363	NC_059446.1:17715989-17720085	protein_coding
gene-tstd1	tstd1	NC_059446.1:17720271-17721655	protein_coding
gene-tstd1	tstd1	NC_059446.1:17720271-17721655	protein_coding
gene-tstd1	tstd1	NC_059446.1:17720271-17721655	protein_coding
gene-tstd1	tstd1	NC_059446.1:17720271-17721655	protein_coding
gene-tstd1	tstd1	NC_059446.1:17720271-17721655	protein_coding
gene-tstd1	tstd1	NC_059446.1:17720271-17721655	protein_coding
gene-tstd1	tstd1	NC_059446.1:17720271-17721655	protein_coding
gene-tstd1	tstd1	NC_059446.1:17720271-17721655	protein_coding
gene-zgc:195212	zgc:195212	NC_059446.1:17731455-17736454	protein_coding
gene-zgc:195212	zgc:195212	NC_059446.1:17731455-17737945	protein_coding
gene-zgc:195212	zgc:195212	NC_059446.1:17731455-17737945	protein_coding
gene-zgc:195212	zgc:195212	NC_059446.1:17731455-17737945	protein_coding
gene-zgc:195212	zgc:195212	NC_059446.1:17731455-17737945	protein_coding
gene-zgc:195212	zgc:195212	NC_059446.1:17731455-17737945	protein_coding
gene-zgc:195212	zgc:195212	NC_059446.1:17731455-17737945	protein_coding
gene-zgc:195212	zgc:195212	NC_059446.1:17731455-17737945	protein_coding
gene-pola2	pola2	NC_059446.1:17738152-17744514	gene=pola2
gene-pola2	pola2	NC_059446.1:17738152-17744514	gene=pola2
gene-pola2	pola2	NC_059446.1:17738152-17744514	gene=pola2
gene-pola2	pola2	NC_059446.1:17738152-17744514	gene=pola2
gene-pola2	pola2	NC_059446.1:17738152-17744514	gene=pola2
gene-pola2	pola2	NC_059446.1:17738152-17744514	gene=pola2
gene-pola2	pola2	NC_059446.1:17738152-17744514	gene=pola2
gene-LOC106604367	LOC106604367	NC_059446.1:17744622-17749011	protein_coding
gene-LOC106604367	LOC106604367	NC_059446.1:17744622-17749011	protein_coding
gene-LOC106604367	LOC106604367	NC_059446.1:17744622-17749011	protein_coding
gene-LOC106604367	LOC106604367	NC_059446.1:17744622-17749011	protein_coding
gene-LOC106604367	LOC106604367	NC_059446.1:17744622-17749011	protein_coding
gene-LOC106604367	LOC106604367	NC_059446.1:17744622-17749011	protein_coding
gene-LOC106604367	LOC106604367	NC_059446.1:17744622-17749011	protein_coding
gene-slc24a6a	slc24a6a	NC_059446.1:17749776-17770105	protein_coding
gene-slc24a6a	slc24a6a	NC_059446.1:17749776-17770105	protein_coding
gene-slc24a6a	slc24a6a	NC_059446.1:17749776-17770105	protein_coding
gene-slc24a6a	slc24a6a	NC_059446.1:17749776-17770105	protein_coding
gene-slc24a6a	slc24a6a	NC_059446.1:17749776-17770105	protein_coding
gene-slc24a6a	slc24a6a	NC_059446.1:17749776-17770105	protein_coding
gene-slc24a6a	slc24a6a	NC_059446.1:17749776-17770105	protein_coding
gene-zdhhc24	zdhhc24	NC_059446.1:17778602-17781780	protein_coding
gene-zdhhc24	zdhhc24	NC_059446.1:17778602-17781780	protein_coding
gene-zdhhc24	zdhhc24	NC_059446.1:17778602-17781780	protein_coding
gene-zdhhc24	zdhhc24	NC_059446.1:17778602-17781780	protein_coding
gene-zdhhc24	zdhhc24	NC_059446.1:17778602-17781780	protein_coding
gene-zdhhc24	zdhhc24	NC_059446.1:17778602-17781780	protein_coding
gene-zdhhc24	zdhhc24	NC_059446.1:17778602-17781780	protein_coding
gene-LOC106604353	LOC106604353	NC_059446.1:17782192-17785755	protein_coding
gene-LOC106604353	LOC106604353	NC_059446.1:17782192-17785755	protein_coding
gene-LOC106604353	LOC106604353	NC_059446.1:17782192-17785755	protein_coding
gene-LOC106604353	LOC106604353	NC_059446.1:17782192-17785755	protein_coding
gene-LOC106604353	LOC106604353	NC_059446.1:17782192-17785755	protein_coding
gene-LOC106604353	LOC106604353	NC_059446.1:17782192-17785755	protein_coding
gene-LOC106604353	LOC106604353	NC_059446.1:17782192-17785755	protein_coding
gene-LOC123743238	LOC123743238	NC_059446.1:17785564-17787397	protein_coding
gene-LOC123743238	LOC123743238	NC_059446.1:17785564-17787397	protein_coding
gene-LOC123743238	LOC123743238	NC_059446.1:17785564-17787397	protein_coding
gene-LOC123743238	LOC123743238	NC_059446.1:17785564-17787397	protein_coding
gene-LOC123743238	LOC123743238	NC_059446.1:17785564-17787397	protein_coding
gene-LOC123743238	LOC123743238	NC_059446.1:17785564-17787397	protein_coding
gene-LOC123743238	LOC123743238	NC_059446.1:17785564-17787397	protein_coding
gene-rnaseh2c	rnaseh2c	NC_059446.1:17787615-17790487	gene=rnaseh2c
gene-rnaseh2c	rnaseh2c	NC_059446.1:17787615-17790487	gene=rnaseh2c
gene-rnaseh2c	rnaseh2c	NC_059446.1:17787615-17790487	gene=rnaseh2c
gene-rnaseh2c	rnaseh2c	NC_059446.1:17787615-17790487	gene=rnaseh2c
gene-rnaseh2c	rnaseh2c	NC_059446.1:17787615-17790487	gene=rnaseh2c
gene-rnaseh2c	rnaseh2c	NC_059446.1:17787615-17790487	gene=rnaseh2c
gene-rnaseh2c	rnaseh2c	NC_059446.1:17787615-17790487	gene=rnaseh2c
gene-LOC106604372	LOC106604372	NC_059446.1:17790491-17794094	protein_coding
gene-LOC106604372	LOC106604372	NC_059446.1:17790491-17794094	protein_coding
gene-LOC106604372	LOC106604372	NC_059446.1:17790491-17794094	protein_coding
gene-LOC106604372	LOC106604372	NC_059446.1:17790491-17794094	protein_coding
gene-LOC106604372	LOC106604372	NC_059446.1:17790491-17794094	protein_coding
gene-LOC106604372	LOC106604372	NC_059446.1:17790491-17794094	protein_coding
gene-LOC106604372	LOC106604372	NC_059446.1:17790491-17794094	protein_coding
gene-LOC106604373	LOC106604373	NC_059446.1:17794007-17795601	lncRNA
gene-LOC106604373	LOC106604373	NC_059446.1:17794007-17795601	lncRNA
gene-LOC106604373	LOC106604373	NC_059446.1:17794007-17795601	lncRNA
gene-LOC106604373	LOC106604373	NC_059446.1:17794007-17795601	lncRNA
gene-LOC106604373	LOC106604373	NC_059446.1:17794007-17795601	lncRNA
gene-LOC106604373	LOC106604373	NC_059446.1:17794007-17795601	lncRNA
gene-LOC106604373	LOC106604373	NC_059446.1:17794007-17795601	lncRNA
gene-LOC106604371	LOC106604371	NC_059446.1:17803637-17813028	protein_coding
gene-LOC106604371	LOC106604371	NC_059446.1:17803637-17813028	protein_coding
gene-LOC106604371	LOC106604371	NC_059446.1:17803637-17813028	protein_coding
gene-LOC106604371	LOC106604371	NC_059446.1:17803637-17813028	protein_coding
gene-LOC106604371	LOC106604371	NC_059446.1:17803637-17813028	protein_coding
gene-LOC106604371	LOC106604371	NC_059446.1:17803637-17813028	protein_coding
gene-LOC106604371	LOC106604371	NC_059446.1:17803637-17813028	protein_coding
gene-macrod1	macrod1	NC_059446.1:17816765-17834878	gene=macrod1
gene-macrod1	macrod1	NC_059446.1:17816765-17875541	gene=macrod1
gene-macrod1	macrod1	NC_059446.1:17816765-17931155	gene=macrod1
gene-macrod1	macrod1	NC_059446.1:17816765-17931155	gene=macrod1
gene-macrod1	macrod1	NC_059446.1:17816765-17931155	gene=macrod1
gene-macrod1	macrod1	NC_059446.1:17816765-17931155	gene=macrod1
gene-macrod1	macrod1	NC_059446.1:17816765-17931155	gene=macrod1
gene-LOC106604369	LOC106604369	NC_059446.1:17855216-17875541	protein_coding
gene-LOC106604369	LOC106604369	NC_059446.1:17855216-17884558	protein_coding
gene-LOC106604369	LOC106604369	NC_059446.1:17855216-17884558	protein_coding
gene-LOC106604369	LOC106604369	NC_059446.1:17855216-17884558	protein_coding
gene-LOC106604369	LOC106604369	NC_059446.1:17855216-17884558	protein_coding
gene-LOC106604369	LOC106604369	NC_059446.1:17855216-17884558	protein_coding
gene-ccdc88b	ccdc88b	NC_059446.1:17973194-17998398	protein_coding
gene-ccdc88b	ccdc88b	NC_059446.1:17973194-17998398	protein_coding
gene-ccdc88b	ccdc88b	NC_059446.1:17973194-17998398	protein_coding
gene-LOC106604375	LOC106604375	NC_059446.1:17999286-18005378	protein_coding
gene-LOC106604375	LOC106604375	NC_059446.1:17999286-18005378	protein_coding
gene-LOC106604375	LOC106604375	NC_059446.1:17999286-18005378	protein_coding
gene-LOC106604376	LOC106604376	NC_059446.1:18006068-18013950	protein_coding
gene-LOC106604376	LOC106604376	NC_059446.1:18006068-18013950	protein_coding
gene-LOC106604376	LOC106604376	NC_059446.1:18006068-18013950	protein_coding
gene-LOC123743083	LOC123743083	NC_059446.1:18025640-18032719	lncRNA
