type	GeneSymbol	ProductName
mRNA	LOC106604317	proheparin-bindingEGF-likegrowthfactor
mRNA	LOC106604317	proheparin-bindingEGF-likegrowthfactor
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX1
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX1
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX1
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX1
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX1
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX3
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX3
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX3
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX3
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX3
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX2
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX2
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX2
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX2
mRNA	LOC106604316	RUNandFYVEdomain-containingprotein1-like%2CtranscriptvariantX2
mRNA	hnrh1	HeterogeneousnuclearribonucleoproteinH%2CtranscriptvariantX1
mRNA	hnrh1	HeterogeneousnuclearribonucleoproteinH%2CtranscriptvariantX1
mRNA	hnrh1	HeterogeneousnuclearribonucleoproteinH%2CtranscriptvariantX1
mRNA	hnrh1	HeterogeneousnuclearribonucleoproteinH%2CtranscriptvariantX1
mRNA	hnrh1	HeterogeneousnuclearribonucleoproteinH%2CtranscriptvariantX1
mRNA	hnrh1	HeterogeneousnuclearribonucleoproteinH%2CtranscriptvariantX2
mRNA	hnrh1	HeterogeneousnuclearribonucleoproteinH%2CtranscriptvariantX2
mRNA	hnrh1	HeterogeneousnuclearribonucleoproteinH%2CtranscriptvariantX2
mRNA	hnrh1	HeterogeneousnuclearribonucleoproteinH%2CtranscriptvariantX2
mRNA	hnrh1	HeterogeneousnuclearribonucleoproteinH%2CtranscriptvariantX2
Name=NM_001173697.1	mRNA	HeterogeneousnuclearribonucleoproteinH
Name=NM_001173697.1	mRNA	HeterogeneousnuclearribonucleoproteinH
Name=NM_001173697.1	mRNA	HeterogeneousnuclearribonucleoproteinH
Name=NM_001173697.1	mRNA	HeterogeneousnuclearribonucleoproteinH
Name=NM_001173697.1	mRNA	HeterogeneousnuclearribonucleoproteinH
mRNA	LOC106604312	ankyrinrepeatandKHdomain-containingprotein1-like
mRNA	LOC106604312	ankyrinrepeatandKHdomain-containingprotein1-like
mRNA	LOC106604312	ankyrinrepeatandKHdomain-containingprotein1-like
mRNA	LOC106604312	ankyrinrepeatandKHdomain-containingprotein1-like
mRNA	LOC106604312	ankyrinrepeatandKHdomain-containingprotein1-like
mRNA	LOC100194635	eukaryotictranslationinitiationfactor4Ebindingprotein3-2
mRNA	LOC100194635	eukaryotictranslationinitiationfactor4Ebindingprotein3-2
mRNA	LOC100194635	eukaryotictranslationinitiationfactor4Ebindingprotein3-2
mRNA	LOC100194635	eukaryotictranslationinitiationfactor4Ebindingprotein3-2
mRNA	LOC100194635	eukaryotictranslationinitiationfactor4Ebindingprotein3-2
mRNA	LOC106604334	cysteine-richandtransmembranedomain-containingprotein1
mRNA	LOC106604334	cysteine-richandtransmembranedomain-containingprotein1
mRNA	LOC106604334	cysteine-richandtransmembranedomain-containingprotein1
mRNA	LOC106604334	cysteine-richandtransmembranedomain-containingprotein1
mRNA	LOC106604334	cysteine-richandtransmembranedomain-containingprotein1
mRNA	LOC106604330	teneurin-2
mRNA	LOC106604330	teneurin-2
mRNA	LOC106604330	teneurin-2
mRNA	LOC106604330	teneurin-2
mRNA	LOC106604330	teneurin-2
mRNA	LOC106604330	teneurin-2
mRNA	LOC106604330	teneurin-2
mRNA	LOC106604330	teneurin-2
mRNA	LOC123743081	teneurin-2-like
mRNA	LOC123743081	teneurin-2-like
mRNA	LOC123743081	teneurin-2-like
mRNA	LOC123743081	teneurin-2-like
mRNA	LOC123743081	teneurin-2-like
mRNA	LOC123743081	teneurin-2-like
mRNA	LOC123743081	teneurin-2-like
mRNA	LOC123743081	teneurin-2-like
mRNA	LOC123743081	teneurin-2-like
mRNA	LOC123743081	teneurin-2-like
mRNA	LOC123743081	teneurin-2-like
mRNA	LOC123743237	extensin-1-like
mRNA	LOC123743237	extensin-1-like
mRNA	LOC123743237	extensin-1-like
mRNA	LOC123743237	extensin-1-like
mRNA	LOC123743237	extensin-1-like
mRNA	LOC123743237	extensin-1-like
mRNA	LOC123743237	extensin-1-like
mRNA	LOC123743237	extensin-1-like
mRNA	LOC123743237	extensin-1-like
mRNA	LOC123743237	extensin-1-like
mRNA	LOC123743237	extensin-1-like
mRNA	LOC123743237	extensin-1-like
mRNA	LOC123743237	extensin-1-like
mRNA	LOC123743237	extensin-1-like
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX2
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX2
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX2
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX2
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX2
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX2
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX2
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX2
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX2
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX2
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX2
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX2
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX2
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX4
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX4
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX4
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX4
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX4
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX4
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX4
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX4
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX4
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX4
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX4
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX4
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX4
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX3
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX3
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX3
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX3
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX3
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX3
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX3
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX3
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX3
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX3
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX3
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX3
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX3
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX1
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX1
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX1
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX1
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX1
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX1
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX1
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX1
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX1
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX1
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX1
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX1
mRNA	LOC106604349	hyaluronanmediatedmotilityreceptor%2CtranscriptvariantX1
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX1
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX1
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX1
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX1
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX1
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX1
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX1
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX1
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX1
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX1
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX1
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX1
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX1
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX2
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX2
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX2
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX2
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX2
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX2
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX2
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX2
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX2
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX2
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX2
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX2
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX2
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX3
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX3
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX3
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX3
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX3
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX3
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX3
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX3
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX3
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX3
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX3
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX3
mRNA	cyfip2	cytoplasmicFMR1interactingprotein2%2CtranscriptvariantX3
mRNA	itk	IL2inducibleTcellkinase
mRNA	itk	IL2inducibleTcellkinase
mRNA	itk	IL2inducibleTcellkinase
mRNA	itk	IL2inducibleTcellkinase
mRNA	itk	IL2inducibleTcellkinase
mRNA	itk	IL2inducibleTcellkinase
mRNA	itk	IL2inducibleTcellkinase
mRNA	itk	IL2inducibleTcellkinase
mRNA	itk	IL2inducibleTcellkinase
mRNA	itk	IL2inducibleTcellkinase
mRNA	itk	IL2inducibleTcellkinase
mRNA	itk	IL2inducibleTcellkinase
mRNA	itk	IL2inducibleTcellkinase
Name=NM_001141191.1	mRNA	mediatorcomplexsubunit7
Name=NM_001141191.1	mRNA	mediatorcomplexsubunit7
Name=NM_001141191.1	mRNA	mediatorcomplexsubunit7
Name=NM_001141191.1	mRNA	mediatorcomplexsubunit7
Name=NM_001141191.1	mRNA	mediatorcomplexsubunit7
Name=NM_001141191.1	mRNA	mediatorcomplexsubunit7
Name=NM_001141191.1	mRNA	mediatorcomplexsubunit7
Name=NM_001141191.1	mRNA	mediatorcomplexsubunit7
Name=NM_001141191.1	mRNA	mediatorcomplexsubunit7
Name=NM_001141191.1	mRNA	mediatorcomplexsubunit7
Name=NM_001141191.1	mRNA	mediatorcomplexsubunit7
Name=NM_001141191.1	mRNA	mediatorcomplexsubunit7
Name=NM_001141191.1	mRNA	mediatorcomplexsubunit7
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX1
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX1
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX1
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX1
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX1
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX1
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX1
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX1
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX1
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX1
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX1
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX1
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX1
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX2
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX2
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX2
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX2
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX2
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX2
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX2
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX2
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX2
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX2
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX2
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX2
mRNA	LOC106604350	LONpeptidaseN-terminaldomainandRINGfingerprotein1%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX2
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX4
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX1
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX3
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
mRNA	LOC106604348	glutamatereceptor1-like%2CtranscriptvariantX5
mRNA	tmsb2	thymosinbeta2
mRNA	tmsb2	thymosinbeta2
mRNA	tmsb2	thymosinbeta2
mRNA	tmsb2	thymosinbeta2
mRNA	tmsb2	thymosinbeta2
mRNA	tmsb2	thymosinbeta2
mRNA	tmsb2	thymosinbeta2
mRNA	tmsb2	thymosinbeta2
mRNA	tmsb2	thymosinbeta2
mRNA	LOC106604409	proteinWnt-8a
mRNA	LOC106604409	proteinWnt-8a
mRNA	LOC106604409	proteinWnt-8a
mRNA	LOC106604409	proteinWnt-8a
mRNA	LOC106604409	proteinWnt-8a
mRNA	LOC106604409	proteinWnt-8a
mRNA	LOC106604409	proteinWnt-8a
mRNA	LOC106604409	proteinWnt-8a
mRNA	LOC106604409	proteinWnt-8a
mRNA	LOC106604410	proteinWnt-8a-like
mRNA	LOC106604410	proteinWnt-8a-like
mRNA	LOC106604410	proteinWnt-8a-like
mRNA	LOC106604410	proteinWnt-8a-like
mRNA	LOC106604410	proteinWnt-8a-like
mRNA	LOC106604410	proteinWnt-8a-like
mRNA	LOC106604410	proteinWnt-8a-like
mRNA	LOC106604410	proteinWnt-8a-like
mRNA	LOC106604410	proteinWnt-8a-like
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX1
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX1
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX1
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX1
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX1
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX1
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX1
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX1
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX2
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX2
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX2
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX2
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX2
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX2
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX2
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX2
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX3
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX3
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX3
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX3
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX3
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX3
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX3
mRNA	syce3	synaptonemalcomplexcentralelementprotein3%2CtranscriptvariantX3
mRNA	LOC106604358	MORCfamilyCW-typezincfingerprotein3-like%2CtranscriptvariantX1
mRNA	LOC106604358	MORCfamilyCW-typezincfingerprotein3-like%2CtranscriptvariantX1
mRNA	LOC106604358	MORCfamilyCW-typezincfingerprotein3-like%2CtranscriptvariantX1
mRNA	LOC106604358	MORCfamilyCW-typezincfingerprotein3-like%2CtranscriptvariantX1
mRNA	LOC106604358	MORCfamilyCW-typezincfingerprotein3-like%2CtranscriptvariantX1
mRNA	LOC106604358	MORCfamilyCW-typezincfingerprotein3-like%2CtranscriptvariantX1
mRNA	LOC106604358	MORCfamilyCW-typezincfingerprotein3-like%2CtranscriptvariantX1
mRNA	LOC106604358	MORCfamilyCW-typezincfingerprotein3-like%2CtranscriptvariantX1
mRNA	LOC106604358	MORCfamilyCW-typezincfingerprotein3-like%2CtranscriptvariantX2
