query	database.subject	pid	aln.length	mismatches	gap.openings	query.start	query.end	subj.start	subj.end	e.value	bit.score	protein	species	length	subj.name	subj.gene.cluster	subj.gene.call	hit.id
AAZ44547.2	c_000000000855	37.069	464	257	6	2	454	9	448	4.24e-101	308	MHJ_0461	Mycoplasma.hyopneumoniae	471	REF_Mycoplasma_mobile	GC_00003954	180	29
AAZ44547.2	c_000000000853	40.566	424	219	10	47	450	43	453	1.39e-83	263	MHJ_0461	Mycoplasma.hyopneumoniae	471	REF_Ureaplasma_urealyticum	GC_00000189	550	30
AAZ44547.2	c_000000000851	41.159	328	187	4	131	453	130	456	3.09e-80	254	MHJ_0461	Mycoplasma.hyopneumoniae	471	REF_Mycoplasma_penetrans	GC_00000189	896	31
AAZ44547.2	c_000000001527	44.295	298	165	1	157	453	157	454	8.32e-80	253	MHJ_0461	Mycoplasma.hyopneumoniae	471	MAG05_Mycoplasma_sp	GC_00000354	36530	32
AAZ44547.2	c_000000000852	41.642	341	190	5	115	450	117	453	1.16e-77	247	MHJ_0461	Mycoplasma.hyopneumoniae	471	REF_Ureaplasma_diversum	GC_00000189	349	33
AAZ44547.2	c_000000001526	43.624	298	167	1	157	453	157	454	3.26e-77	246	MHJ_0461	Mycoplasma.hyopneumoniae	471	MAG03_Mycoplasma_sp	GC_00000354	26373	34
AAZ44547.2	c_000000004555	41.64	317	181	2	137	450	130	445	1.02e-76	244	MHJ_0461	Mycoplasma.hyopneumoniae	471	MAG04_Mycoplasma_sp	GC_00001043	39520	35
AAZ44547.2	c_000000000850	40.909	330	185	5	129	453	132	456	3.36e-74	238	MHJ_0461	Mycoplasma.hyopneumoniae	471	REF_Mycoplasma_iowae	GC_00000189	896	36
AAZ44547.2	c_000000004554	39.841	251	148	1	125	372	118	368	5.73e-55	187	MHJ_0461	Mycoplasma.hyopneumoniae	471	MAG02_Mycoplasma_sp	GC_00001043	35529	37
AAZ44547.2	c_000000007162	47.475	198	102	2	150	346	143	339	9.95e-51	173	MHJ_0461	Mycoplasma.hyopneumoniae	471	MAG01_Mycoplasma_salmoninae	GC_00002242	39857	38
AAZ44547.2	c_000000000849	44.33	97	52	2	358	453	361	456	1.75e-18	85.5	MHJ_0461	Mycoplasma.hyopneumoniae	471	MAG01_Mycoplasma_salmoninae	GC_00000189	40384	39
AAZ44547.2	c_000000006914	27.143	210	107	7	7	202	14	191	3.86e-12	63.2	MHJ_0461	Mycoplasma.hyopneumoniae	471	MAG03_Mycoplasma_sp	GC_00005046	26548	40
AAZ44547.2	c_000000000042	23.611	72	50	1	146	217	757	823	0.37	31.2	MHJ_0461	Mycoplasma.hyopneumoniae	471	MAG04_Mycoplasma_sp	GC_00005122	38895	41
AAZ44547.2	c_000000008035	28.395	81	48	3	108	180	47	125	2.9	28.1	MHJ_0461	Mycoplasma.hyopneumoniae	471	REF_Ureaplasma_diversum	GC_00001882	280	42
AAZ44547.2	c_000000003413	46.667	30	15	1	133	161	152	181	3.5	27.7	MHJ_0461	Mycoplasma.hyopneumoniae	471	MAG02_Mycoplasma_sp	GC_00005146	35769	43
AAZ44547.2	c_000000005336	38.71	31	19	0	407	437	79	109	5.8	26.9	MHJ_0461	Mycoplasma.hyopneumoniae	471	REF_Mycoplasma_iowae	GC_00002898	649	44
AAZ44547.2	c_000000004355	36	50	31	1	154	203	256	304	7.2	26.9	MHJ_0461	Mycoplasma.hyopneumoniae	471	MAG02_Mycoplasma_sp	GC_00000193	36186	45
AAZ44547.2	c_000000006019	40	25	15	0	2	26	17	41	7.4	26.6	MHJ_0461	Mycoplasma.hyopneumoniae	471	MAG04_Mycoplasma_sp	GC_00000211	38851	46
ABJ97052.1	c_000000002305	24.219	256	138	8	127	372	70	279	1.59e-06	48.5	P60	Mycoplasma.capricolum	561	REF_Ureaplasma_urealyticum	GC_00000735	15	47
ABJ97052.1	c_000000002238	23.381	278	155	7	123	386	71	304	1.09e-05	46.2	P60	Mycoplasma.capricolum	561	REF_Ureaplasma_urealyticum	GC_00000791	511	48
ABJ97052.1	c_000000006678	24.815	270	148	13	114	370	37	264	3.74e-05	44.3	P60	Mycoplasma.capricolum	561	MAG02_Mycoplasma_sp	GC_00000290	35622	49
ABJ97052.1	c_000000004409	25	140	87	4	236	372	204	328	0.000249	41.6	P60	Mycoplasma.capricolum	561	REF_Mycoplasma_penetrans	GC_00004455	586	50
ABJ97052.1	c_000000001069	22.857	245	132	9	141	372	71	271	0.001	39.7	P60	Mycoplasma.capricolum	561	REF_Ureaplasma_diversum	GC_00005109	730	51
ABJ97052.1	c_000000006680	25.09	279	134	12	115	370	38	264	0.01	36.6	P60	Mycoplasma.capricolum	561	MAG04_Mycoplasma_sp	GC_00000290	38868	52
ABJ97052.1	c_000000002304	45.455	44	21	2	332	372	236	279	0.015	35.8	P60	Mycoplasma.capricolum	561	REF_Ureaplasma_urealyticum	GC_00000735	210	53
ABJ97052.1	c_000000006312	32.759	116	55	7	309	403	297	410	0.015	35.8	P60	Mycoplasma.capricolum	561	REF_Mycoplasma_iowae	GC_00004085	846	54
ABJ97052.1	c_000000002237	23.372	261	142	9	125	371	73	289	0.022	35.4	P60	Mycoplasma.capricolum	561	REF_Ureaplasma_urealyticum	GC_00000791	11	55
ABJ97052.1	c_000000002635	37.778	45	28	0	99	143	137	181	0.3	30.8	P60	Mycoplasma.capricolum	561	MAG01_Mycoplasma_salmoninae	GC_00000438	40055	56
ABJ97052.1	c_000000007767	47.619	21	11	0	36	56	61	81	0.48	29.6	P60	Mycoplasma.capricolum	561	MAG03_Mycoplasma_sp	GC_00001274	26545	57
ABJ97052.1	c_000000007768	47.619	21	11	0	36	56	61	81	0.57	29.6	P60	Mycoplasma.capricolum	561	MAG05_Mycoplasma_sp	GC_00001274	36363	58
ABJ97052.1	c_000000005282	30.769	104	68	2	114	213	192	295	0.91	30	P60	Mycoplasma.capricolum	561	REF_Ureaplasma_diversum	GC_00000846	154	59
ABJ97052.1	c_000000005710	24.37	119	64	4	74	174	58	168	1.5	29.3	P60	Mycoplasma.capricolum	561	REF_Mycoplasma_penetrans	GC_00002522	226	60
ABJ97052.1	c_000000000401	28	50	36	0	402	451	2	51	2.1	26.2	P60	Mycoplasma.capricolum	561	MAG02_Mycoplasma_sp	GC_00000126	35982	61
ABJ97052.1	c_000000004161	27.848	79	48	2	243	321	165	234	2.3	28.5	P60	Mycoplasma.capricolum	561	REF_Ureaplasma_urealyticum	GC_00001157	453	62
ABJ97052.1	c_000000006679	26.23	183	97	10	259	420	165	330	2.5	28.9	P60	Mycoplasma.capricolum	561	MAG04_Mycoplasma_sp	GC_00000290	39569	63
ABJ97052.1	c_000000007390	40	40	22	1	2	41	98	135	4.5	28.1	P60	Mycoplasma.capricolum	561	REF_Mycoplasma_penetrans	GC_00000111	254	64
ABJ97052.1	c_000000001104	32.653	49	33	0	475	523	294	342	4.9	28.1	P60	Mycoplasma.capricolum	561	REF_Mycoplasma_penetrans	GC_00000122	377	65
ABJ97052.1	c_000000005497	26.056	142	84	7	4	127	149	287	5.3	27.7	P60	Mycoplasma.capricolum	561	REF_Ureaplasma_diversum	GC_00002620	170	66
ABJ97052.1	c_000000007457	28.916	83	41	4	292	369	222	291	7.3	27.3	P60	Mycoplasma.capricolum	561	MAG02_Mycoplasma_sp	GC_00000794	36183	67
ABJ97052.1	c_000000001095	35.484	31	20	0	354	384	164	194	9.7	26.6	P60	Mycoplasma.capricolum	561	REF_Mycoplasma_penetrans	GC_00000926	776	68
ACU79305.1	c_000000001420	29.851	134	79	4	1	119	1	134	0.033	34.7	LppQ	Mycoplasma.mycoides	456	REF_Mycoplasma_mobile	GC_00003325	346	69
ACU79305.1	c_000000006378	29.524	105	61	3	49	140	143	247	0.3	31.6	LppQ	Mycoplasma.mycoides	456	MAG02_Mycoplasma_sp	GC_00004565	35946	70
ACU79305.1	c_000000004401	32.692	52	31	1	1	48	4	55	0.39	31.2	LppQ	Mycoplasma.mycoides	456	REF_Ureaplasma_diversum	GC_00003015	588	71
ACU79305.1	c_000000001451	39.394	33	17	1	1	33	3	32	0.43	30.8	LppQ	Mycoplasma.mycoides	456	REF_Mycoplasma_mobile	GC_00004695	341	72
ACU79305.1	c_000000000555	40	35	18	1	1	35	4	35	0.5	30.8	LppQ	Mycoplasma.mycoides	456	REF_Mycoplasma_mobile	GC_00001094	342	73
ACU79305.1	c_000000004928	31.169	77	42	4	11	77	8	83	0.51	30.8	LppQ	Mycoplasma.mycoides	456	REF_Ureaplasma_diversum	GC_00004885	299	74
ACU79305.1	c_000000006975	38.889	36	21	1	2	36	5	40	0.66	30.4	LppQ	Mycoplasma.mycoides	456	REF_Mycoplasma_iowae	GC_00004706	841	75
ACU79305.1	c_000000001460	35.593	59	32	2	13	66	16	73	1.4	29.3	LppQ	Mycoplasma.mycoides	456	REF_Mycoplasma_penetrans	GC_00000182	655	76
ACU79305.1	c_000000005613	31.034	145	71	7	63	182	990	1130	1.7	29.3	LppQ	Mycoplasma.mycoides	456	MAG02_Mycoplasma_sp	GC_00002298	35876	77
ACU79305.1	c_000000008069	45.161	31	16	1	8	38	10	39	2.3	28.5	LppQ	Mycoplasma.mycoides	456	REF_Ureaplasma_diversum	GC_00002838	692	78
ACU79305.1	c_000000005292	28.09	89	62	2	205	292	144	231	2.5	28.5	LppQ	Mycoplasma.mycoides	456	REF_Ureaplasma_diversum	GC_00000802	316	79
ACU79305.1	c_000000004443	40.476	42	18	1	14	48	15	56	3.3	28.1	LppQ	Mycoplasma.mycoides	456	REF_Ureaplasma_diversum	GC_00002871	693	80
ACU79305.1	c_000000006073	32.432	37	25	0	1	37	2	38	3.3	28.1	LppQ	Mycoplasma.mycoides	456	REF_Mycoplasma_mobile	GC_00001206	345	81
ACU79305.1	c_000000006158	35.593	59	29	3	8	66	14	63	4.4	27.7	LppQ	Mycoplasma.mycoides	456	REF_Mycoplasma_iowae	GC_00004553	685	82
ACU79305.1	c_000000001349	32.609	46	31	0	76	121	192	237	4.9	27.3	LppQ	Mycoplasma.mycoides	456	REF_Mycoplasma_penetrans	GC_00001621	424	83
ACU79305.1	c_000000002962	27.083	48	33	1	184	231	73	118	6.3	26.9	LppQ	Mycoplasma.mycoides	456	REF_Mycoplasma_iowae	GC_00004435	338	84
ACU79305.1	c_000000002086	45.714	35	18	1	1	34	1	35	6.5	26.9	LppQ	Mycoplasma.mycoides	456	REF_Ureaplasma_diversum	GC_00000175	797	85
ACU79305.1	c_000000007192	26.974	152	90	8	51	189	387	530	6.6	27.3	LppQ	Mycoplasma.mycoides	456	REF_Mycoplasma_iowae	GC_00002767	73	86
ACU79305.1	c_000000006879	27.273	143	80	7	261	394	136	263	7.1	26.9	LppQ	Mycoplasma.mycoides	456	REF_Mycoplasma_penetrans	GC_00001127	61	87
ACU79305.1	c_000000005811	41.463	41	22	2	7	46	8	47	8.1	26.9	LppQ	Mycoplasma.mycoides	456	REF_Ureaplasma_diversum	GC_00001829	195	88
ACU79305.1	c_000000000744	48.276	29	13	2	8	35	4	31	8.3	26.6	LppQ	Mycoplasma.mycoides	456	MAG03_Mycoplasma_sp	GC_00003908	26831	89
ACU79305.1	c_000000003583	33.333	42	26	1	4	43	7	48	9	26.6	LppQ	Mycoplasma.mycoides	456	REF_Mycoplasma_iowae	GC_00004952	656	90
ACU79305.1	c_000000004121	25	60	43	1	126	183	49	108	9.2	25.8	LppQ	Mycoplasma.mycoides	456	MAG04_Mycoplasma_sp	GC_00003558	39720	91
AHA41007.1	c_000000003103	31.98	197	102	5	7	175	94	286	0.00032	38.9	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_urealyticum	GC_00004488	394	92
AHA41007.1	c_000000003103	37.778	135	74	3	47	175	180	310	0.004	35.8	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_urealyticum	GC_00004488	394	93
AHA41007.1	c_000000003103	37.778	135	74	3	47	175	196	326	0.004	35.8	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_urealyticum	GC_00004488	394	94
AHA41007.1	c_000000003103	37.778	135	74	3	47	175	204	334	0.004	35.8	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_urealyticum	GC_00004488	394	95
AHA41007.1	c_000000003103	37.778	135	74	3	47	175	220	350	0.004	35.8	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_urealyticum	GC_00004488	394	96
AHA41007.1	c_000000003103	37.778	135	74	3	47	175	228	358	0.004	35.8	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_urealyticum	GC_00004488	394	97
AHA41007.1	c_000000003103	37.778	135	74	3	47	175	244	374	0.004	35.8	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_urealyticum	GC_00004488	394	98
AHA41007.1	c_000000003103	37.778	135	74	3	47	175	268	398	0.004	35.8	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_urealyticum	GC_00004488	394	99
AHA41007.1	c_000000003103	37.778	135	74	3	47	175	284	414	0.004	35.8	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_urealyticum	GC_00004488	394	100
AHA41007.1	c_000000003103	37.778	135	74	3	47	175	292	422	0.004	35.8	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_urealyticum	GC_00004488	394	101
AHA41007.1	c_000000001870	32.787	183	80	10	13	183	8	159	0.028	33.1	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_diversum	GC_00004516	197	102
AHA41007.1	c_000000004443	25.676	148	91	4	19	159	11	146	0.061	32	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_diversum	GC_00002871	693	103
AHA41007.1	c_000000001420	45.833	24	13	0	13	36	6	29	0.19	30.8	VlpA	Mesomycoplasma.hyorhinis	226	REF_Mycoplasma_mobile	GC_00003325	346	104
AHA41007.1	c_000000006801	29.787	141	74	5	13	130	8	146	0.54	29.3	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_diversum	GC_00004463	663	105
AHA41007.1	c_000000002250	38.462	26	16	0	14	39	7	32	0.76	28.5	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_diversum	GC_00003715	742	106
AHA41007.1	c_000000007411	41.379	29	17	0	11	39	3	31	0.96	28.1	VlpA	Mesomycoplasma.hyorhinis	226	REF_Mycoplasma_penetrans	GC_00002024	684	107
AHA41007.1	c_000000000555	37.5	24	15	0	13	36	6	29	1.1	28.5	VlpA	Mesomycoplasma.hyorhinis	226	REF_Mycoplasma_mobile	GC_00001094	342	108
AHA41007.1	c_000000002963	46.429	28	11	2	13	38	6	31	1.8	27.7	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_urealyticum	GC_00002962	608	109
AHA41007.1	c_000000003382	47.619	21	11	0	16	36	17	37	3.5	26.9	VlpA	Mesomycoplasma.hyorhinis	226	REF_Mycoplasma_penetrans	GC_00001363	697	110
AHA41007.1	c_000000003381	47.619	21	11	0	16	36	17	37	4.4	26.6	VlpA	Mesomycoplasma.hyorhinis	226	REF_Mycoplasma_penetrans	GC_00001363	694	111
AHA41007.1	c_000000003412	40.476	42	22	3	17	57	14	53	4.5	26.2	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_diversum	GC_00002017	638	112
AHA41007.1	c_000000007372	27.119	59	36	2	1	59	2	53	5.7	26.2	VlpA	Mesomycoplasma.hyorhinis	226	REF_Mycoplasma_penetrans	GC_00004291	599	113
AHA41007.1	c_000000006975	26.667	45	30	1	14	55	10	54	6.5	25.8	VlpA	Mesomycoplasma.hyorhinis	226	REF_Mycoplasma_iowae	GC_00004706	841	114
AHA41007.1	c_000000001451	32.258	31	21	0	14	44	6	36	7.2	25.4	VlpA	Mesomycoplasma.hyorhinis	226	REF_Mycoplasma_mobile	GC_00004695	341	115
AHA41007.1	c_000000003790	47.826	23	12	0	13	35	7	29	9.1	25.4	VlpA	Mesomycoplasma.hyorhinis	226	REF_Ureaplasma_diversum	GC_00003607	9	116
AMW25788.1	c_000000003962	28.571	112	58	5	198	289	577	686	0.089	34.3	P80	Mycoplasmopsis.bovis	748	REF_Mycoplasma_penetrans	GC_00003029	154	117
AMW25788.1	c_000000000927	34.091	44	28	1	470	512	122	165	1.1	30.4	P80	Mycoplasmopsis.bovis	748	REF_Mycoplasma_penetrans	GC_00000048	387	118
AMW25788.1	c_000000005054	45.161	31	17	0	441	471	339	369	4.2	28.5	P80	Mycoplasmopsis.bovis	748	MAG04_Mycoplasma_sp	GC_00002737	38885	119
AMW25788.1	c_000000001386	29.091	55	39	0	447	501	5646	5700	5.5	28.5	P80	Mycoplasmopsis.bovis	748	REF_Ureaplasma_urealyticum	GC_00000293	494	120
AMW25788.1	c_000000001236	30.612	98	53	3	112	209	90	172	5.9	27.7	P80	Mycoplasmopsis.bovis	748	REF_Mycoplasma_iowae	GC_00004840	370	121
AMW25788.1	c_000000007011	23.308	133	75	2	272	399	309	419	7.1	27.7	P80	Mycoplasmopsis.bovis	748	MAG03_Mycoplasma_sp	GC_00003730	26537	122
AMW25788.1	c_000000007907	40	35	20	1	228	261	48	82	7.2	27.7	P80	Mycoplasmopsis.bovis	748	MAG04_Mycoplasma_sp	GC_00002793	39701	123
AMW25788.1	c_000000007581	33.962	53	33	1	641	691	59	111	7.3	26.9	P80	Mycoplasmopsis.bovis	748	REF_Mycoplasma_penetrans	GC_00003336	852	124
BAC23068.1	c_000000001353	100	3183	0	0	1	3183	1	3183	0	6265	Gli349	Mesomycoplasma.mobile	3273	REF_Mycoplasma_mobile	GC_00002907	107	125
BAC23068.1	c_000000003564	31.884	69	47	0	2709	2777	746	814	7.94e-05	46.6	Gli349	Mesomycoplasma.mobile	3273	MAG05_Mycoplasma_sp	GC_00001969	36695	126
BAC23068.1	c_000000003564	45	40	22	0	2728	2767	534	573	0.01	39.7	Gli349	Mesomycoplasma.mobile	3273	MAG05_Mycoplasma_sp	GC_00001969	36695	127
BAC23068.1	c_000000003564	33.333	84	45	2	2694	2767	359	441	0.017	38.9	Gli349	Mesomycoplasma.mobile	3273	MAG05_Mycoplasma_sp	GC_00001969	36695	128
BAC23068.1	c_000000003564	33.333	63	37	1	2727	2789	489	546	0.64	33.5	Gli349	Mesomycoplasma.mobile	3273	MAG05_Mycoplasma_sp	GC_00001969	36695	129
BAC23068.1	c_000000003564	28.358	67	47	1	2701	2767	761	826	8.2	30	Gli349	Mesomycoplasma.mobile	3273	MAG05_Mycoplasma_sp	GC_00001969	36695	130
BAC23068.1	c_000000003564	28	100	64	4	2677	2775	698	790	8.4	30	Gli349	Mesomycoplasma.mobile	3273	MAG05_Mycoplasma_sp	GC_00001969	36695	131
BAC23068.1	c_000000000533	38.983	59	36	0	2714	2772	633	691	0.000112	46.2	Gli349	Mesomycoplasma.mobile	3273	MAG03_Mycoplasma_sp	GC_00000395	26277	132
BAC23068.1	c_000000000533	27.586	116	67	2	2700	2798	506	621	0.000417	44.3	Gli349	Mesomycoplasma.mobile	3273	MAG03_Mycoplasma_sp	GC_00000395	26277	133
BAC23068.1	c_000000000533	29.31	58	41	0	2710	2767	343	400	0.016	38.9	Gli349	Mesomycoplasma.mobile	3273	MAG03_Mycoplasma_sp	GC_00000395	26277	134
BAC23068.1	c_000000000533	27.027	148	83	5	2622	2767	84	208	0.022	38.5	Gli349	Mesomycoplasma.mobile	3273	MAG03_Mycoplasma_sp	GC_00000395	26277	135
BAC23068.1	c_000000001873	30.769	91	57	2	2710	2800	346	430	0.000117	45.4	Gli349	Mesomycoplasma.mobile	3273	MAG05_Mycoplasma_sp	GC_00002253	36365	136
BAC23068.1	c_000000001873	50	38	19	0	2735	2772	461	498	0.001	42	Gli349	Mesomycoplasma.mobile	3273	MAG05_Mycoplasma_sp	GC_00002253	36365	137
BAC23068.1	c_000000001873	36	50	31	1	2714	2763	463	511	0.1	36.2	Gli349	Mesomycoplasma.mobile	3273	MAG05_Mycoplasma_sp	GC_00002253	36365	138
BAC23068.1	c_000000007325	28.643	199	111	8	2614	2783	329	525	0.000512	43.5	Gli349	Mesomycoplasma.mobile	3273	REF_Mycoplasma_mobile	GC_00001606	140	139
BAC23068.1	c_000000004890	38.806	67	39	2	2709	2775	720	784	0.001	42.7	Gli349	Mesomycoplasma.mobile	3273	MAG02_Mycoplasma_sp	GC_00000206	36032	140
BAC23068.1	c_000000004890	33.962	53	34	1	2715	2767	520	571	0.71	33.5	Gli349	Mesomycoplasma.mobile	3273	MAG02_Mycoplasma_sp	GC_00000206	36032	141
BAC23068.1	c_000000004890	41.071	56	30	2	2731	2784	209	263	2.4	31.6	Gli349	Mesomycoplasma.mobile	3273	MAG02_Mycoplasma_sp	GC_00000206	36032	142
BAC23068.1	c_000000004890	38.71	62	35	2	2714	2773	215	275	9.9	29.6	Gli349	Mesomycoplasma.mobile	3273	MAG02_Mycoplasma_sp	GC_00000206	36032	143
BAC23068.1	c_000000007095	41.27	63	36	1	2714	2776	449	510	0.001	42.4	Gli349	Mesomycoplasma.mobile	3273	MAG02_Mycoplasma_sp	GC_00000665	36047	144
BAC23068.1	c_000000007095	39.344	61	36	1	2715	2775	696	755	0.002	42	Gli349	Mesomycoplasma.mobile	3273	MAG02_Mycoplasma_sp	GC_00000665	36047	145
BAC23068.1	c_000000007095	35.484	62	39	1	2715	2776	428	488	0.066	37	Gli349	Mesomycoplasma.mobile	3273	MAG02_Mycoplasma_sp	GC_00000665	36047	146
BAC23068.1	c_000000007095	36.585	41	26	0	2735	2775	425	465	0.97	33.1	Gli349	Mesomycoplasma.mobile	3273	MAG02_Mycoplasma_sp	GC_00000665	36047	147
BAC23068.1	c_000000000532	36.842	57	35	1	2714	2770	656	711	0.001	42.4	Gli349	Mesomycoplasma.mobile	3273	MAG03_Mycoplasma_sp	GC_00000395	26784	148
BAC23068.1	c_000000000532	43.902	41	23	0	2735	2775	654	694	0.017	38.9	Gli349	Mesomycoplasma.mobile	3273	MAG03_Mycoplasma_sp	GC_00000395	26784	149
BAC23068.1	c_000000000532	44.737	38	21	0	2735	2772	541	578	0.036	37.7	Gli349	Mesomycoplasma.mobile	3273	MAG03_Mycoplasma_sp	GC_00000395	26784	150
BAC23068.1	c_000000000532	30.556	108	61	4	2696	2796	764	864	1.6	32.3	Gli349	Mesomycoplasma.mobile	3273	MAG03_Mycoplasma_sp	GC_00000395	26784	151
